,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,21950.000,31-Mar-22,Fija=9.125,3.95,8.20,103.95,110.83,6.04%,3.30,3.50
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,18795.000,4-Abr-22,Tasa fija=8.75,0.83,8.94,100.83,97.84,9.80%,2.59,2.92
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14451.000,4-Abr-22,Fija=2.5,0.67,3.33,100.67,75.35,14.90%,4.25,4.99
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,11500.000,4-Abr-22,Fija=1.5,0.03,2.49,100.03,60.35,14.22%,6.44,8.24
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20800.000,10-Feb-22,Fija=6,0.63,6.22,100.63,96.42,9.02%,1.29,1.35
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20780.000,10-Feb-22,Fija=7.375,0.47,7.64,100.47,96.49,10.37%,1.31,1.38
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,20750.000,10-Feb-22,Fija=8.75,3.16,9.34,103.16,93.84,15.34%,1.02,1.19
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,22050.000,9-Feb-22,Fija=9.5,4.12,9.62,104.12,98.80,11.56%,1.72,1.93
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17610.000,10-Feb-22,Fija=8.5,0.38,10.39,100.38,81.84,16.12%,2.78,3.11
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,21000.000,10-Feb-22,Fija=8.5,0.19,8.69,100.19,97.78,9.78%,2.14,2.32
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18800.000,10-Feb-22,Fija=4,0.02,4.56,100.02,87.69,13.66%,2.19,2.38
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,21600.000,10-Feb-22,Fija=10.95,1.34,11.01,101.34,99.44,11.60%,3.39,3.67
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,21350.000,8-Feb-22,Fija=8,0.58,8.08,100.58,99.03,8.44%,3.63,3.90
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,24200.000,10-Feb-22,Fija=9.125,2.64,8.28,102.64,110.00,6.40%,3.42,3.64
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14555.000,10-Feb-22,Fija=2.5,0.31,3.70,100.31,67.69,17.17%,4.28,5.13
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11800.000,7-Feb-22,Fija=1.5,0.56,2.75,100.56,54.74,15.66%,6.31,8.35
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,29400.000,4-Ago-22,Fija=6,0.53,5.96,100.53,100.74,5.23%,0.87,0.90
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,28800.000,4-Ago-22,Fija=7.375,0.35,7.46,100.35,98.86,8.85%,0.89,0.93
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,16350.000,4-Ago-22,Fija=8.75,2.11,11.30,72.11,78.10,35.86%,0.92,1.17
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,28400.000,4-Ago-22,Tasa fija=6.875,1.59,7.14,101.59,96.30,9.42%,1.59,1.68
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,29500.000,4-Ago-22,Fija=9.5,3.96,9.73,103.96,97.75,12.96%,1.33,1.52
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,19000.000,4-Ago-22,Fija=8.5,0.24,13.03,100.24,65.29,27.69%,2.28,2.72
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,26750.000,4-Ago-22,Fija=8.5,0.05,9.23,100.05,92.10,13.66%,1.70,1.91
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,24100.000,4-Ago-22,Fija=4,0.96,4.87,100.96,82.23,20.57%,1.67,1.92
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Sep-22,100.00,29300.000,4-Ago-22,Fija=10.95,1.16,10.97,101.16,99.78,11.48%,3.10,3.32
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,26250.000,4-Ago-22,Fija=8,0.44,8.89,100.44,90.02,11.52%,3.23,3.52
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,34300.000,4-Ago-22,Fija=9.125,2.48,7.89,102.48,115.29,4.55%,3.15,3.28
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,28500.000,4-Ago-22,Tasa fija=8.75,3.79,9.27,103.79,94.59,11.52%,2.22,2.58
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,19000.000,4-Ago-22,Fija=2.5,0.26,3.84,100.26,65.28,19.85%,3.80,4.69
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,16100.000,4-Ago-22,Fija=1.5,0.53,2.73,100.53,55.17,16.55%,5.84,7.90
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,30350.000,14-Oct-22,Fija=6,1.72,6.23,101.72,96.38,11.85%,0.66,0.70
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,31800.000,17-Oct-22,Fija=7.375,1.80,7.31,101.80,100.90,6.21%,0.71,0.74
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,18150.000,17-Oct-22,Fija=8.75,0.26,10.49,70.26,83.45,31.21%,0.82,1.02
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,30700.000,17-Oct-22,Tasa fija=6.875,2.94,7.15,102.94,96.33,9.74%,1.40,1.48
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,26000.000,17-Oct-22,Fija=9.5,0.94,9.92,87.64,95.83,14.57%,1.39,1.58
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,22080.000,17-Oct-22,Fija=8.5,1.91,12.25,101.91,69.98,25.71%,2.14,2.52
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,29800.000,17-Oct-22,Fija=8.5,1.72,8.99,101.72,94.62,12.38%,1.53,1.71
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Nov-22,100.00,26199.000,17-Oct-22,Fija=4,0.74,4.77,100.74,84.00,21.00%,1.50,1.74
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.00,30925.000,17-Oct-22,Fija=10.95,0.58,11.03,100.58,99.32,11.65%,2.98,3.19
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,27800.000,17-Oct-22,Fija=8,2.02,9.11,102.02,88.02,12.51%,3.02,3.32
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,34400.000,17-Oct-22,Fija=9.125,4.28,8.54,104.28,106.55,7.02%,2.89,3.08
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,29500.000,17-Oct-22,Tasa fija=8.75,1.14,9.29,101.14,94.21,11.82%,2.13,2.48
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,19600.000,17-Oct-22,Fija=2.5,0.76,4.00,100.76,62.83,21.96%,3.53,4.50
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,17110.000,17-Oct-22,Fija=1.5,0.08,2.72,100.08,55.22,16.93%,5.69,7.74
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,50000.000,17-May-23,Fija=6,2.27,5.57,102.27,107.54,-,0.16,0.12
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,51000.000,18-May-23,Fija=7.375,2.48,6.72,102.48,109.46,-,0.20,0.16
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,18850.000,18-May-23,Fija=8.75,0.47,8.54,40.47,102.45,5.81%,0.83,0.85
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-23,100.00,47600.000,18-May-23,Tasa fija=6.875,0.13,6.58,100.13,104.55,2.15%,0.96,0.97
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,36500.000,18-May-23,Fija=9.5,1.43,8.84,74.83,107.28,5.27%,1.17,1.22
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,45400.000,18-May-23,Fija=8.5,2.64,8.74,102.64,97.28,10.20%,1.89,2.01
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,50000.000,18-May-23,Fija=8.5,2.43,7.67,99.43,110.61,-,1.22,1.22
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-23,84.62,41700.000,18-May-23,Fija=9,0.21,8.32,84.83,108.12,3.30%,1.40,1.43
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,50045.000,18-May-23,Fija=10.95,1.58,10.09,101.58,108.36,8.06%,2.61,2.72
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,45890.000,18-May-23,Fija=8,2.76,8.15,102.76,98.23,8.84%,2.66,2.83
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,54400.000,18-May-23,Tasa fija.=9.5,4.33,8.24,104.33,114.69,3.20%,2.24,2.31
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-23,100.00,52500.000,18-May-23,Fija=9.125,0.56,7.94,100.56,114.83,3.73%,2.61,2.69
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,45000.000,18-May-23,Tasa fija=8.75,1.75,8.10,91.75,107.88,4.96%,2.03,2.16
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,52500.000,18-May-23,Tasa fija.=8.25,0.99,7.21,100.99,114.34,2.96%,2.60,2.67
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,50350.000,18-May-23,Tasa fija.=8.75,3.65,8.17,103.65,106.85,6.40%,2.77,3.01
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,44500.000,18-May-23,Fija=9,3.55,9.54,103.55,94.52,10.86%,3.49,3.94
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,34600.000,18-May-23,Fija=7,1.01,9.32,101.01,75.34,11.91%,5.90,7.25
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,31500.000,20-Jul-22,Fija=6,0.27,5.90,100.27,101.75,4.14%,0.92,0.94
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,31400.000,20-Jul-22,Fija=7.375,0.02,7.25,100.02,101.68,5.70%,0.95,0.98
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,17600.000,20-Jul-22,Fija=8.75,1.84,11.10,71.84,79.35,32.75%,0.98,1.22
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,30300.000,20-Jul-22,Tasa fija=6.875,1.28,7.10,101.28,96.90,8.96%,1.64,1.73
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,31700.000,20-Jul-22,Fija=9.5,3.54,9.58,103.54,99.16,11.74%,1.39,1.57
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,22000.000,20-Jul-22,Fija=8.5,4.11,12.66,104.11,68.44,26.01%,2.21,2.68
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,30500.000,20-Jul-22,Fija=8.5,3.92,8.96,103.92,95.06,11.75%,1.70,1.89
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,26000.000,20-Jul-22,Fija=4,0.78,4.79,100.78,83.56,19.05%,1.73,1.97
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Sep-22,100.00,31500.000,20-Jul-22,Fija=10.95,0.67,10.80,100.67,101.34,10.94%,3.15,3.37
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,28400.000,20-Jul-22,Fija=8,0.09,8.71,100.09,91.90,10.81%,3.29,3.57
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,36200.000,20-Jul-22,Fija=9.125,2.08,7.92,102.08,114.86,4.73%,3.19,3.32
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,30200.000,20-Jul-22,Tasa fija=8.75,3.40,9.27,103.40,94.59,11.45%,2.27,2.63
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,17500.000,20-Jul-22,Fija=2.5,0.15,4.42,100.15,56.59,23.81%,3.68,4.74
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,14900.000,20-Jul-22,Fija=1.5,0.47,3.14,100.47,48.03,19.03%,5.59,7.95
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,46200.000,3-May-23,Fija=6,1.98,5.75,101.98,104.33,-,0.19,0.17
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,46500.000,3-May-23,Fija=7.375,2.13,7.03,102.13,104.85,-,0.23,0.21
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,17450.000,3-May-23,Fija=8.75,0.30,8.78,40.30,99.71,9.23%,0.86,0.90
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,44000.000,3-May-23,Tasa fija=6.875,3.25,7.01,103.25,98.14,9.04%,0.94,0.98
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,34700.000,3-May-23,Fija=9.5,1.10,8.85,74.50,107.26,5.46%,1.22,1.27
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,39425.000,3-May-23,Fija=8.5,2.24,9.60,102.24,88.80,15.23%,1.88,2.06
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,41750.000,3-May-23,Fija=8.5,2.04,8.76,99.04,97.08,11.34%,1.13,1.26
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,41100.000,3-May-23,Fija=9,1.92,8.96,94.22,100.45,8.89%,1.25,1.34
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,45500.000,3-May-23,Fija=10.95,1.06,10.56,101.06,103.68,9.90%,2.63,2.76
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,41740.000,3-May-23,Fija=8,2.38,8.53,102.38,93.89,10.59%,2.67,2.88
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,50490.000,3-May-23,Tasa fija.=9.5,3.88,8.45,103.88,111.93,4.41%,2.26,2.35
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-23,100.00,48500.000,3-May-23,Fija=9.125,0.13,8.18,100.13,111.55,4.95%,2.63,2.74
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,40500.000,3-May-23,Tasa fija=8.75,1.38,8.57,91.38,102.07,7.84%,2.01,2.21
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,47000.000,3-May-23,Tasa fija.=8.25,0.60,7.66,100.60,107.60,5.43%,2.58,2.72
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,46750.000,3-May-23,Tasa fija.=8.75,3.23,8.38,103.23,104.29,7.33%,2.78,3.06
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,38275.000,3-May-23,Fija=9,3.13,10.59,103.13,85.47,13.91%,3.41,3.99
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,31400.000,3-May-23,Fija=7,0.68,9.77,100.68,71.82,12.73%,5.85,7.29
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20800.000,16-Feb-22,Fija=6,0.70,6.14,100.70,97.71,7.97%,1.28,1.34
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20550.000,16-Feb-22,Fija=7.375,0.55,7.63,100.55,96.68,10.23%,1.30,1.37
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,20600.000,16-Feb-22,Fija=8.75,3.26,9.29,103.26,94.37,14.80%,1.01,1.18
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,22200.000,16-Feb-22,Fija=9.5,4.22,9.43,104.22,100.76,10.37%,1.73,1.92
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17105.000,16-Feb-22,Fija=8.5,0.47,10.57,100.47,80.54,16.78%,2.75,3.10
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,21050.000,16-Feb-22,Fija=8.5,0.28,8.56,100.28,99.30,9.03%,2.14,2.31
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18800.000,16-Feb-22,Fija=4,0.07,4.50,100.07,88.87,13.03%,2.19,2.37
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,21900.000,16-Feb-22,Fija=10.95,1.46,10.72,101.46,102.11,10.75%,3.40,3.66
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,20500.000,15-Feb-22,Fija=8,0.67,8.31,100.67,96.33,9.24%,3.60,3.88
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,24000.000,16-Feb-22,Fija=9.125,2.74,8.24,102.74,110.51,6.25%,3.42,3.63
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14775.000,16-Feb-22,Fija=2.5,0.33,3.59,100.33,69.66,16.48%,4.30,5.12
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11700.000,15-Feb-22,Fija=1.5,0.58,2.74,100.58,55.03,15.59%,6.31,8.34
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,34600.000,12-Ene-23,Fija=6,0.17,5.87,100.17,102.14,1.44%,0.47,0.47
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,34500.000,12-Ene-23,Fija=7.375,3.59,7.49,103.59,98.49,10.96%,0.47,0.49
2,IRCFO,IRSA CLASE XIV EN U$S ,28-Feb-24,5-Anual,Sem.,22-Jun-23,100.00,34305.000,12-Ene-23,Tasa fija.=8.75,0.58,8.68,100.58,100.85,8.64%,3.02,3.35
3,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,28-Feb-24,3-Anual,Sem.,8-Jun-23,100.00,37300.000,12-Ene-23,Tasa fija.=9.5,1.00,8.69,101.00,109.20,6.03%,2.52,2.65
4,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,23700.000,12-Ene-23,Fija=8.75,1.74,8.96,71.74,97.69,12.38%,0.70,0.77
5,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,35000.000,12-Ene-23,Tasa fija=6.875,1.16,6.72,101.16,102.30,5.11%,1.25,1.28
6,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,32000.000,12-Ene-23,Fija=9.5,2.93,8.98,89.63,105.57,7.07%,1.25,1.33
7,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,32600.000,12-Ene-23,Fija=8.5,3.97,9.20,103.97,92.72,12.42%,2.10,2.28
8,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,35550.000,12-Ene-23,Fija=8.5,3.78,8.39,103.78,101.29,7.69%,1.36,1.47
9,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,33999.000,12-Ene-23,Fija=9,0.94,9.04,100.94,99.59,9.62%,1.40,1.51
10,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-23,100.00,35830.000,12-Ene-23,Fija=10.95,0.49,10.38,100.49,105.44,9.41%,2.86,3.00
11,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,34500.000,12-Ene-23,Fija=8,3.96,8.16,103.96,98.13,8.84%,2.87,3.08
12,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,39250.000,12-Ene-23,Fija=9.125,1.93,7.99,101.93,113.87,4.49%,2.83,2.94
13,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,35200.000,12-Ene-23,Tasa fija=8.75,3.26,8.68,103.26,100.80,8.51%,1.98,2.23
14,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Abr-23,100.00,37800.000,12-Ene-23,Tasa fija.=8.25,1.54,7.48,101.54,110.08,4.82%,2.81,2.94
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,29250.000,12-Ene-23,Fija=9,0.40,10.45,100.40,86.15,13.34%,3.71,4.29
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,24100.000,12-Ene-23,Fija=7,0.69,9.92,100.69,70.78,12.88%,5.94,7.50
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,21850.000,26-May-22,Fija=6,2.40,6.01,102.40,99.88,6.19%,1.03,1.06
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,21850.000,26-May-22,Fija=7.375,2.64,7.40,102.64,99.65,7.84%,1.05,1.09
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,13750.000,26-May-22,Fija=8.75,0.95,9.66,70.95,90.71,17.18%,1.22,1.36
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,20800.000,26-May-22,Tasa fija=6.875,0.29,7.08,100.29,97.09,8.69%,1.78,1.87
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,22300.000,26-May-22,Fija=9.5,2.16,9.29,102.16,102.18,9.51%,1.56,1.71
